Num;name;categorie;sale_ok;purchase_ok;product_type;internal_ref;list_price;ean13;Christmaes_product;Print_two_face;predecoupe;Developpement;Relief;Paletissation;Pantone;schema d'impression;colis_ean;carton;palette;qty_to_invoice;farde;description;remarque;quality;procure_method;supply_method;standard_price;produce_delay;uom_po_id;description_purchase;state;weight;net_weight;Largeur;Longueur;Grammage;Recompute_grammage;Type_crochet;Print_step;F_pliage1;F_pliage2;sale_delay;produce_delay;uos_id;uos_coeff;sale_description;account_income;account_expense;taxes_id;supplier_taxes_id;code;partner_id;date_obsolete
144;*144;sleeve;1;1;product;SE1382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
145;*145;sleeve;1;1;product;SE1411;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146;*146;sleeve;1;1;product;SE1426;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;*147;sleeve;1;1;product;SE1432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
148;*148;sleeve;1;1;product;SE1443;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
149;*149;sleeve;1;1;product;SE1444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;*150;sleeve;1;1;product;SE1448;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151;*151;sleeve;1;1;product;SE1449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
152;*152;sleeve;1;1;product;SE1450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
153;*153;sleeve;1;1;product;SE1458;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;*154;sleeve;1;1;product;SE1459;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155;*155;sleeve;1;1;product;SE1461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
156;*156;sleeve;1;1;product;SE1464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
157;*157;sleeve;1;1;product;SE1490;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
158;*158;sleeve;1;1;product;SE1531X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
159;*159;sleeve;1;1;product;SE1555;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
160;*160;sleeve;1;1;product;SE1567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
161;*161;sleeve;1;1;product;SE1572;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
162;*162;sleeve;1;1;product;SE1574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
163;*163;sleeve;1;1;product;SE1601X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
164;*164;sleeve;1;1;product;SE1707X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165;*165;sleeve;1;1;product;SE1712X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
166;*166;sleeve;1;1;product;SE1717X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
167;*167;sleeve;1;1;product;SE1718X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
168;*168;sleeve;1;1;product;SE1719X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
169;*169;sleeve;1;1;product;SE1734X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
170;*170;sleeve;1;1;product;SE0374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
171;*171;sleeve;1;1;product;SE0513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
172;*172;sleeve;1;1;product;SE0514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
173;*173;sleeve;1;1;product;SE0516;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
174;*174;sleeve;1;1;product;SE0598;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
175;*175;sleeve;1;1;product;SE0704;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
176;*176;sleeve;1;1;product;SE0705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
177;*177;sleeve;1;1;product;SE0706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
178;*178;sleeve;1;1;product;SE0724;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179;*179;sleeve;1;1;product;SE0759;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;*180;sleeve;1;1;product;SE0996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
181;*181;sleeve;1;1;product;SE1140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
182;*182;sleeve;1;1;product;SE1151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
183;*183;sleeve;1;1;product;SE1161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
184;*184;sleeve;1;1;product;SE2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
185;*185;sleeve;1;1;product;SE2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
186;*186;sleeve;1;1;product;SE2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
187;*187;sleeve;1;1;product;SE2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
188;*188;sleeve;1;1;product;SE2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
